TIME_TO_INTERVAL,date,hour,Power,Radiation,ClearSkyRadiation,Radiation(SDv3)(CWB),Radiation(SDv3)(IBM),Radiation(SDv3)(OWM),Radiation(MSM),minute,pre_Power_15,pre_Radiation_15,pre_Power_30,Radiation_0,pre_Power_45,next_Radiation_15
2022-04-14 13:00:00,2022-04-14,13,7.445566666666663,0.9,0.8925793668875509,0.6261298213698173,0.716363267797166,0.667854597538316,0.92051,0,7.476411111111072,0.6513033551328113,7.568955555555572,0.6261298213698173,7.695566666666648,0.6261298213698173
2022-04-14 13:15:00,2022-04-14,13,7.247744444444424,0.9,0.8925793668875509,0.6261298213698173,0.716363267797166,0.667854597538316,0.92051,15,7.445566666666663,0.6261298213698173,7.476411111111072,0.6261298213698173,7.568955555555572,0.6261298213698173
2022-04-14 13:30:00,2022-04-14,13,7.091566666666656,0.9,0.8925793668875509,0.6261298213698173,0.716363267797166,0.667854597538316,0.92051,30,7.247744444444424,0.6261298213698173,7.445566666666663,0.6261298213698173,7.476411111111072,0.6261298213698173
2022-04-14 13:45:00,2022-04-14,13,6.8064555555555515,0.9,0.8925793668875509,0.6261298213698173,0.716363267797166,0.667854597538316,0.92051,45,7.091566666666656,0.6261298213698173,7.247744444444424,0.6261298213698173,7.445566666666663,0.5507103794901367
2022-04-14 14:00:00,2022-04-14,14,6.4855888888888815,0.7555555555555555,0.7572986198744667,0.5507103794901367,0.5570765334394095,0.5880433015331323,0.81102,0,6.8064555555555515,0.6261298213698173,7.091566666666656,0.5507103794901367,7.247744444444424,0.5507103794901367
2022-04-14 14:15:00,2022-04-14,14,6.198655555555562,0.7555555555555555,0.7572986198744667,0.5507103794901367,0.5570765334394095,0.5880433015331323,0.81102,15,6.4855888888888815,0.5507103794901367,6.8064555555555515,0.5507103794901367,7.091566666666656,0.5507103794901367
2022-04-14 14:30:00,2022-04-14,14,5.893488888888879,0.7555555555555555,0.7572986198744667,0.5507103794901367,0.5570765334394095,0.5880433015331323,0.81102,30,6.198655555555562,0.5507103794901367,6.4855888888888815,0.5507103794901367,6.8064555555555515,0.5507103794901367
2022-04-14 14:45:00,2022-04-14,14,5.493288888888861,0.7555555555555555,0.7572986198744667,0.5507103794901367,0.5570765334394095,0.5880433015331323,0.81102,45,5.893488888888879,0.5507103794901367,6.198655555555562,0.5507103794901367,6.4855888888888815,0.4898541406739307
2022-04-14 15:00:00,2022-04-14,15,5.127277777777783,0.5555555555555556,0.5669220556622974,0.4898541406739307,0.5144362348096067,0.4348574652039189,0.61638,0,5.493288888888861,0.5507103794901367,5.893488888888879,0.4898541406739307,6.198655555555562,0.4898541406739307
2022-04-14 15:15:00,2022-04-14,15,4.6629555555555715,0.5555555555555556,0.5669220556622974,0.4898541406739307,0.5144362348096067,0.4348574652039189,0.61638,15,5.127277777777783,0.4898541406739307,5.493288888888861,0.4898541406739307,5.893488888888879,0.4898541406739307
2022-04-14 15:30:00,2022-04-14,15,4.215822222222215,0.5555555555555556,0.5669220556622974,0.4898541406739307,0.5144362348096067,0.4348574652039189,0.61638,30,4.6629555555555715,0.4898541406739307,5.127277777777783,0.4898541406739307,5.493288888888861,0.4898541406739307
2022-04-14 15:45:00,2022-04-14,15,3.7338000000000067,0.5555555555555556,0.5669220556622974,0.4898541406739307,0.5144362348096067,0.4348574652039189,0.61638,45,4.215822222222215,0.4898541406739307,4.6629555555555715,0.4898541406739307,5.127277777777783,0.2897617804620439
2022-04-14 16:00:00,2022-04-14,16,3.240388888888886,0.325,0.3380525780702208,0.2897617804620439,0.2887420935106421,0.24532336409477734,0.38929,0,3.7338000000000067,0.4898541406739307,4.215822222222215,0.2897617804620439,4.6629555555555715,0.2897617804620439
2022-04-14 16:15:00,2022-04-14,16,2.5508777777777727,0.325,0.3380525780702208,0.2897617804620439,0.2887420935106421,0.24532336409477734,0.38929,15,3.240388888888886,0.2897617804620439,3.7338000000000067,0.2897617804620439,4.215822222222215,0.2897617804620439
