,Date,Hour,Current,Frequency,Voltage,kP,kQ,TIME_TO_INTERVAL
1993,2022-06-22,18,0.8839944444444524,59.99910277777776,226.1094111111113,0.4051666666666583,0.35978055555554317,2022-06-22 18:00:00
1994,2022-06-22,19,0.7709833333333644,59.94223611111121,225.38258888888828,0.025741666666667388,0.5216944444444263,2022-06-22 19:00:00
1995,2022-06-22,20,0.7810166666666889,59.940599999999925,227.80609722222232,0.029900000000000936,0.5344888888888689,2022-06-22 20:00:00
1996,2022-06-22,21,0.782127777777776,60.035355555555554,227.8301999999999,0.029986111111112036,0.5338472222221955,2022-06-22 21:00:00
1997,2022-06-22,22,0.7806527777777987,60.002758333333034,227.39510833333284,0.029994444444445368,0.5312361111110866,2022-06-22 22:00:00
1998,2022-06-22,23,0.7798416666667016,60.029325,226.31215277777804,0.030000000000000925,0.5289388888888662,2022-06-22 23:00:00
1999,2022-06-23,0,0.7783833333333531,59.936008333333284,226.37193611111067,0.02935833333333417,0.5278638888888678,2022-06-23 00:00:00
2000,2022-06-23,1,0.7797305555555911,59.9659555555555,226.69665833333354,0.029958333333334253,0.5295222222221989,2022-06-23 01:00:00
2001,2022-06-23,2,0.7778500000000133,59.97295277777772,226.14932222222302,0.029516666666667423,0.5264777777777582,2022-06-23 02:00:00
2002,2022-06-23,3,0.7735666666666485,60.03386944444433,224.68360833333335,0.028450000000000586,0.5222583333333164,2022-06-23 03:00:00
2003,2022-06-23,4,0.7722388888888997,60.06251666666661,224.52740833333405,0.029125000000000793,0.5202249999999847,2022-06-23 04:00:00
2004,2022-06-23,5,0.7731638888888815,60.05979722222213,223.9451527777776,0.023175000000000293,0.5197277777777635,2022-06-23 05:00:00
2005,2022-06-23,6,1.9309388888888934,60.05508055555564,222.9051722222216,1.21117222222222,0.2798694444444482,2022-06-23 06:00:00
2006,2022-06-23,7,4.848461111111117,60.01725833333334,223.70649722222296,3.2331277777777725,0.36610555555555696,2022-06-23 07:00:00
2007,2022-06-23,8,7.478122222222221,60.01180833333327,223.90073055555564,4.952761111111126,0.7814583333333059,2022-06-23 08:00:00
2008,2022-06-23,9,9.46392499999997,60.01884722222219,226.39961944444468,6.3565361111111,0.9403083333333273,2022-06-23 09:00:00
2009,2022-06-23,10,9.466199999999992,60.031183333333374,225.30323055555607,6.333358333333343,0.9400972222222236,2022-06-23 10:00:00
2010,2022-06-23,11,9.93549722222221,59.993319444444495,224.75732777777768,6.639213888888891,0.87124166666666,2022-06-23 11:00:00
2011,2022-06-23,12,9.71298611111111,59.963347222222225,226.86009999999996,6.564802777777787,0.7490416666666716,2022-06-23 12:00:00
2012,2022-06-23,13,8.117883333333326,59.96758055555548,223.67481944444427,5.397597222222189,0.6989638888888932,2022-06-23 13:00:00
2013,2022-06-23,14,7.34377499999998,59.956016666666585,220.29352777777805,4.791944444444426,0.7385333333333273,2022-06-23 14:00:00
2014,2022-06-23,15,5.866997222222248,59.98788333333332,220.30956944444395,3.8249777777777516,0.6053861111111,2022-06-23 15:00:00
2015,2022-06-23,16,0.833091666666657,59.98710555555566,221.88783055555652,0.4992333333333353,0.22173055555556545,2022-06-23 16:00:00
2016,2022-06-23,17,0.5965972222222278,60.00370555555556,221.2219361111115,0.134197222222215,0.3434972222222261,2022-06-23 17:00:00
2017,2022-06-23,18,0.7683583333333331,60.018674999999874,223.35064999999986,0.026744444444444685,0.5150944444444328,2022-06-23 18:00:00
2018,2022-06-23,19,0.7775972222222574,60.02449722222217,226.42786666666646,0.02993055555555648,0.527824999999978,2022-06-23 19:00:00
2019,2022-06-23,20,0.7798805555555904,60.00754166666674,227.38974722222156,0.030000000000000925,0.5315638888888641,2022-06-23 20:00:00
2020,2022-06-23,21,0.7756138888888803,60.05425833333333,226.44415833333304,0.030000000000000925,0.5276833333333182,2022-06-23 21:00:00
2021,2022-06-23,22,0.7726472222222167,60.034780555555734,225.61409166666712,0.030000000000000925,0.5219055555555389,2022-06-23 22:00:00
